ind,origin,destination,flow
552,f11,r17,41.0
553,m08,m23,12.0
554,a10,a05,25.0
555,l04,l02,802.0
556,m17,f04,25.0
557,a02,a12,868.0
558,e04,e17,16.0
559,u13,q04,24.0
560,p20,p24,20.0
561,n16,m25,22.0
562,u01,a09,573.0
563,n03,m20,42.0
564,h03,a03,115.0
565,s07,s08,221.0
566,m25,m02,311.0
567,t02,i00,650.0
568,r01,r03,7.0
569,v07,v10,99.0
570,u22,u10,1344.0
571,p14,p14,33716.0
572,r18,r13,1.0
573,u23,h08,2077.0
574,f11,m19,138.0
575,l03,l02,1040.0
576,n00,n03,183.0
577,s08,p19,46.0
578,n17,n14,20.0
579,u13,u14,5367.0
580,m27,m18,269.0
581,m20,m01,236.0
582,g08,f00,10.0
583,t05,i10,280.0
584,t02,p19,649.0
585,r17,r17,184579.0
586,p08,p18,229.0
587,p18,k15,2.0
588,m29,m29,29733.0
589,r17,g09,849.0
590,f10,l04,218.0
591,q00,h02,156.0
592,q05,u00,40.0
593,h02,h08,460.0
594,n02,n11,42.0
595,f16,r02,12.0
596,u07,h08,79.0
597,v02,v06,153.0
598,t07,s07,202.0
599,l06,l01,1124.0
600,u08,h00,233.0
601,h08,u02,456.0
602,u13,u24,631.0
603,i15,i09,94.0
604,p01,p22,420.0
605,v02,v07,577.0
606,u02,q02,580.0
607,u15,v12,7.0
608,i05,s00,23.0
609,s07,p02,35.0
610,f17,r23,47.0
611,h10,h03,1898.0
612,k04,k18,73.0
613,r32,r02,168.0
614,r16,r13,79.0
615,n12,n15,2.0
616,r07,f16,51.0
617,v11,j01,35.0
618,a00,h02,131.0
619,f04,l02,82.0
620,a11,u15,149.0
621,s00,s09,439.0
622,m01,m08,5.0
623,u06,u06,6932.0
624,r13,r32,3.0
625,n03,k16,7.0
626,m09,m00,339.0
627,v09,v01,69.0
628,t06,i15,1102.0
629,m03,m19,161.0
630,l01,m26,29.0
631,p20,n06,1.0
632,m21,n16,8.0
633,p03,k17,6.0
634,a06,v12,5.0
635,r19,r19,9069.0
636,v12,a05,5.0
637,r17,r32,101.0
638,q06,u27,4.0
639,v00,v09,73.0
640,i18,t07,254.0
641,a09,a06,61.0
642,f07,f15,39.0
643,t01,i14,18.0
644,k12,k19,1.0
645,u20,h01,105.0
646,f20,g05,183.0
647,s03,p08,2.0
648,p13,i15,34.0
649,r18,r12,5.0
650,g04,f18,742.0
651,f10,l01,2007.0
652,i04,p21,15.0
653,u16,u01,4.0
654,a03,h11,11.0
655,m02,m11,3.0
656,e13,e02,11.0
657,u02,u17,577.0
658,p11,p05,45.0
659,k05,p15,1.0
660,r18,r28,75.0
661,g04,f22,1702.0
662,k18,p15,3.0
663,r06,g10,165.0
664,g07,r30,1.0
665,f07,f16,71.0
666,p14,k05,1.0
667,i08,i02,30.0
668,j00,e10,2.0
669,b00,u04,6.0
670,l01,m16,48.0
671,d01,k09,16.0
672,u07,h11,52.0
673,g03,f01,393.0
674,c09,c12,13.0
675,l00,m17,779.0
676,m12,n15,7.0
677,p17,i04,63.0
678,u16,u10,4.0
679,n12,d01,405.0
