ind,origin,destination,flow
209,桃園縣龍潭鄉,新竹縣峨眉鄉,1.0
210,高雄縣大樹鄉,屏東縣麟洛鄉,56.0
211,嘉義縣民雄鄉,嘉義縣番路鄉,33.0
212,台中縣東勢鎮,苗栗縣銅鑼鄉,8.0
213,台中縣大肚鄉,南投縣草屯鎮,82.0
214,台北縣平溪鄉,台北縣永和市,18.0
215,嘉義縣大埔鄉,台南縣白河鎮,2.0
216,台北縣坪林鄉,基隆市仁愛區,2.0
217,台中縣龍井鄉,台中縣梧棲鎮,2138.0
218,嘉義縣布袋鎮,雲林縣北港鎮,17.0
219,台中市南屯區,南投縣南投市,182.0
220,彰化縣芬園鄉,彰化縣線西鄉,7.0
221,台北縣八里鄉,桃園縣蘆竹鄉,81.0
222,台南縣關廟鄉,高雄縣燕巢鄉,11.0
223,台南縣關廟鄉,台南縣安定鄉,18.0
224,高雄市左營區,高雄縣湖內鄉,175.0
225,台中縣烏日鄉,台中市南屯區,2092.0
226,台南縣鹽水鎮,台南縣官田鄉,78.0
227,台中縣后里鄉,苗栗縣大湖鄉,3.0
228,屏東縣獅子鄉,屏東縣車城鄉,19.0
229,高雄市苓雅區,高雄縣田寮鄉,7.0
230,雲林縣西螺鎮,彰化縣竹塘鄉,4.0
231,高雄縣鳥松鄉,高雄市鼓山區,209.0
232,嘉義縣朴子市,雲林縣大埤鄉,1.0
233,屏東縣萬丹鄉,屏東縣枋寮鄉,30.0
234,宜蘭縣五結鄉,宜蘭縣礁溪鄉,113.0
235,桃園縣新屋鄉,桃園縣大溪鎮,24.0
236,高雄縣鳳山市,屏東縣萬丹鄉,136.0
237,南投縣仁愛鄉,南投縣國姓鄉,31.0
238,高雄縣大寮鄉,高雄縣岡山鎮,209.0
239,台北縣平溪鄉,台北縣新店市,59.0
240,台北市北投區,台北市南港區,779.0
241,台南縣麻豆鎮,嘉義縣鹿草鄉,4.0
242,苗栗縣銅鑼鄉,苗栗縣頭屋鄉,25.0
243,彰化縣埔鹽鄉,雲林縣西螺鎮,6.0
244,彰化縣溪州鄉,雲林縣西螺鎮,117.0
245,彰化縣二水鄉,南投縣鹿谷鄉,1.0
246,台南市北區,台南縣麻豆鎮,230.0
247,彰化縣福興鄉,彰化縣社頭鄉,5.0
248,台南市北區,台南縣西港鄉,196.0
249,新竹縣關西鎮,新竹縣北埔鄉,13.0
250,桃園縣八德市,台北縣三重市,219.0
251,宜蘭縣礁溪鄉,台北縣永和市,46.0
252,苗栗縣苗栗市,新竹縣北埔鄉,2.0
253,嘉義縣太保市,嘉義縣番路鄉,7.0
254,基隆市信義區,基隆市中正區,1421.0
255,嘉義縣番路鄉,嘉義縣水上鄉,38.0
256,彰化縣溪湖鎮,雲林縣西螺鎮,31.0
257,屏東縣萬巒鄉,屏東縣屏東市,854.0
258,彰化縣田尾鄉,南投縣南投市,22.0
259,高雄縣大社鄉,高雄縣旗山鎮,112.0
260,彰化縣埤頭鄉,雲林縣二崙鄉,1.0
261,高雄市左營區,屏東縣九如鄉,18.0
262,高雄市前鎮區,高雄市新興區,1897.0
263,彰化縣北斗鎮,雲林縣斗南鎮,14.0
264,高雄縣大寮鄉,高雄縣鳳山市,3963.0
265,宜蘭縣員山鄉,台北縣深坑鄉,5.0
266,新竹縣五峰鄉,新竹縣芎林鄉,13.0
267,高雄縣橋頭鄉,高雄市鼓山區,135.0
268,台北縣三峽鎮,台北市信義區,300.0
269,彰化縣埔心鄉,彰化縣伸港鄉,6.0
270,屏東縣東港鎮,高雄市苓雅區,263.0
271,宜蘭縣大同鄉,宜蘭縣南澳鄉,20.0
272,台北縣板橋市,台北縣石門鄉,21.0
273,屏東縣南州鄉,屏東縣潮州鎮,284.0
274,南投縣草屯鎮,彰化縣永靖鄉,5.0
275,苗栗縣通霄鎮,台中縣外埔鄉,12.0
276,桃園縣大園鄉,台北市士林區,30.0
277,高雄市三民區,高雄縣岡山鎮,1202.0
278,嘉義縣鹿草鄉,台南縣新營市,102.0
279,台北市大安區,台北縣萬里鄉,27.0
280,台北縣永和市,台北縣五股鄉,496.0
281,彰化縣芳苑鄉,彰化縣溪州鄉,4.0
282,雲林縣虎尾鎮,雲林縣元長鄉,46.0
283,高雄縣梓官鄉,台南市西區,5.0
284,屏東縣林邊鄉,屏東縣新園鄉,36.0
285,台中縣梧棲鎮,台中縣大里市,165.0
286,台北市文山區,台北市中山區,5959.0
287,彰化縣大城鄉,彰化縣秀水鄉,10.0
288,台南縣安定鄉,台南縣六甲鄉,6.0
289,台北縣鶯歌鎮,台北縣三重市,206.0
290,嘉義縣水上鄉,台南縣新營市,227.0
291,彰化縣北斗鎮,彰化縣溪湖鎮,166.0
292,台中市南屯區,台中縣太平市,399.0
293,彰化縣芳苑鄉,彰化縣線西鄉,3.0
294,台中市西區,彰化縣溪湖鎮,23.0
295,高雄縣梓官鄉,高雄縣橋頭鄉,819.0
296,台北市中山區,台北縣新莊市,1084.0
297,屏東縣萬丹鄉,屏東縣新埤鄉,10.0
298,台北縣八里鄉,桃園縣龜山鄉,102.0
299,苗栗縣卓蘭鎮,台中縣石岡鄉,28.0
300,新竹縣峨眉鄉,桃園縣龍潭鄉,9.0
